hypothesis,budget,threshold,episodes,map_accuracy,map_accuracy_ci_lower,map_accuracy_ci_upper,success_at_threshold,success_ci_lower,success_ci_upper,mean_experiments,median_experiments,stddev_experiments,mean_true_posterior,median_true_posterior,p10_true_posterior,p25_true_posterior,p75_true_posterior,p90_true_posterior,threshold_reached_fraction,budget_exhausted_fraction,cumulative_action_regret,mean_episode_action_regret,mean_action_regret,first_repeat_trial_frequency,first_use_trusted_sensor_frequency,first_change_context_frequency,overall_repeat_trial_frequency,overall_use_trusted_sensor_frequency,overall_change_context_frequency,mean_repeat_trials,mean_trusted_sensor_uses,mean_context_changes
NO_STRUCTURAL_CHANGE,1,0.8,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.10700694927425604,0.11983724857976356,0.009231220084008987,0.11983724857976356,0.11983724857976356,0.11983724857976356,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
WORLD_SHIFT,1,0.8,1000,0.896,0.8755402353777084,0.9134289719017319,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
SENSOR_CORRUPTION,1,0.8,1000,0.884,0.8626667265227275,0.9023943229603661,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.6267549886063567,0.7019038845386151,0.05406857477776692,0.7019038845386151,0.7019038845386151,0.7019038845386151,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
MISSING_LATENT_VARIABLE,1,0.8,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
NO_STRUCTURAL_CHANGE,1,0.9,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.10700694927425604,0.11983724857976356,0.009231220084008987,0.11983724857976356,0.11983724857976356,0.11983724857976356,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
WORLD_SHIFT,1,0.9,1000,0.896,0.8755402353777084,0.9134289719017319,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
SENSOR_CORRUPTION,1,0.9,1000,0.884,0.8626667265227275,0.9023943229603661,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.6267549886063567,0.7019038845386151,0.05406857477776692,0.7019038845386151,0.7019038845386151,0.7019038845386151,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
MISSING_LATENT_VARIABLE,1,0.9,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
NO_STRUCTURAL_CHANGE,1,0.95,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.10700694927425604,0.11983724857976356,0.009231220084008987,0.11983724857976356,0.11983724857976356,0.11983724857976356,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
WORLD_SHIFT,1,0.95,1000,0.896,0.8755402353777084,0.9134289719017319,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
