budget,threshold,episodes,map_accuracy,map_accuracy_ci_lower,map_accuracy_ci_upper,success_at_threshold,success_ci_lower,success_ci_upper,mean_experiments,false_structural_diagnosis_rate,false_structural_ci_lower,false_structural_ci_upper,missed_structural_failure_rate,missed_structural_ci_lower,missed_structural_ci_upper
1,0.8,4000,0.445,0.429659222321156,0.46044631644071127,0.0,5.421010862427522e-20,0.0009594432897014865,1,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
1,0.9,4000,0.445,0.429659222321156,0.46044631644071127,0.0,5.421010862427522e-20,0.0009594432897014865,1,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
1,0.95,4000,0.445,0.429659222321156,0.46044631644071127,0.0,5.421010862427522e-20,0.0009594432897014865,1,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
2,0.8,4000,0.60125,0.5859859691958058,0.6163197435380297,0.38675,0.3717733253724628,0.4019439885326546,2,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
2,0.9,4000,0.60125,0.5859859691958058,0.6163197435380297,0.0,5.421010862427522e-20,0.0009594432897014865,2,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
2,0.95,4000,0.60125,0.5859859691958058,0.6163197435380297,0.0,5.421010862427522e-20,0.0009594432897014865,2,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
3,0.8,4000,0.632,0.6169348287297742,0.6468118782417447,0.55925,0.5438147308171652,0.5745715751530052,2.35075,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
3,0.9,4000,0.64125,0.626257265043745,0.6559716922269143,0.5035,0.48800958023486246,0.5189837036621094,3,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
3,0.95,4000,0.64125,0.626257265043745,0.6559716922269143,0.33425,0.31979645550886476,0.3490215999416713,3,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
5,0.8,4000,0.67375,0.6590600767353093,0.6881065167215193,0.6475,0.6325595983168049,0.6621573659127331,2.629,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
5,0.9,4000,0.8235,0.8113765231650164,0.8350027170265467,0.7575,0.7439749626033874,0.7705309241024163,3.83075,0.507,0.47604583278568624,0.537900592595516,0.002,0.000916930269583324,0.004356803060841335
5,0.95,4000,0.8235,0.8113765231650164,0.8350027170265467,0.57025,0.5548486350843674,0.5855165631334295,4.09775,0.507,0.47604583278568624,0.537900592595516,0.002,0.000916930269583324,0.004356803060841335
8,0.8,4000,0.684,0.6694217585104643,0.6982251663589256,0.68175,0.6671465574479666,0.6960046849162268,2.71275,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
8,0.9,4000,0.8915,0.8814835334564838,0.90076522244768,0.86275,0.851737481224978,0.8730664426683437,4.17375,0.296,0.26853097433797923,0.32503034312412726,0.003,0.0015791325142942543,0.005692043118679753
8,0.95,4000,0.90125,0.8916163931759591,0.9101136535840555,0.8425,0.8308833389320583,0.8534594424144962,4.78375,0.297,0.26949969988900685,0.32605396405612846,0.0026666666666666666,0.0013518647401935516,0.005253496791930672
