candidate_id,is_v1_baseline,normal_process_accuracy,shift_process_accuracy,sensor_normal_accuracy,corrupted_sensor_inversion_accuracy,latent_process_accuracy,initial_no_change_posterior,overall_map_5,overall_map_8,no_change_map_5,no_change_map_8,world_shift_map_5,world_shift_map_8,sensor_corruption_map_5,sensor_corruption_map_8,missing_latent_map_5,missing_latent_map_8,worst_structural_map_5,worst_structural_map_8,false_structural_rate_5,false_structural_rate_8,missed_structural_rate_5,missed_structural_rate_8,mean_experiments_5,mean_experiments_8,max_hypothesis_map_3,design_targets_met,heuristic_score,identifiability_pass,identifiability_notes
n0.90_w0.85_h0.95_c0.85_l0.85,False,0.9,0.85,0.95,0.85,0.85,0.054901960784313725,0.798,0.869,0.508,0.696,0.912,0.94,0.932,0.936,0.84,0.904,0.84,0.904,0.492,0.304,0.0013333333333333333,0.006666666666666667,3.97,4.632,,5,7.849333333333333,True,all intended distinctions preserved
n0.90_w0.85_h0.95_c0.90_l0.85,False,0.9,0.85,0.95,0.9,0.85,0.05405405405405405,0.798,0.873,0.508,0.7,0.912,0.94,0.932,0.948,0.84,0.904,0.84,0.904,0.492,0.3,0.0013333333333333333,0.004,3.956,4.437,,5,7.886666666666666,True,all intended distinctions preserved
n0.90_w0.85_h0.95_c0.85_l0.90,False,0.9,0.85,0.95,0.85,0.9,0.05394990366088632,0.813,0.889,0.508,0.728,0.932,0.944,0.932,0.944,0.88,0.94,0.88,0.94,0.492,0.272,0.0026666666666666666,0.006666666666666667,3.905,4.328,,5,6.241999999999999,False,WORLD_SHIFT and MISSING_LATENT_VARIABLE differ statistically in context B before a context intervention
n0.90_w0.85_h0.95_c0.90_l0.90,False,0.9,0.85,0.95,0.9,0.9,0.05313092979127135,0.813,0.891,0.508,0.728,0.932,0.944,0.932,0.952,0.88,0.94,0.88,0.94,0.492,0.272,0.0026666666666666666,0.004,3.891,4.273,,5,6.251333333333335,False,WORLD_SHIFT and MISSING_LATENT_VARIABLE differ statistically in context B before a context intervention
n0.90_w0.90_h0.95_c0.85_l0.85,False,0.9,0.9,0.95,0.85,0.85,0.05394990366088632,0.805,0.874,0.508,0.696,0.888,0.96,0.932,0.924,0.892,0.916,0.888,0.916,0.492,0.304,0.0013333333333333333,0.006666666666666667,3.926,4.55,,5,5.969333333333334,False,WORLD_SHIFT and MISSING_LATENT_VARIABLE differ statistically in context B before a context intervention
n0.90_w0.90_h0.95_c0.90_l0.85,False,0.9,0.9,0.95,0.9,0.85,0.05313092979127135,0.805,0.878,0.508,0.7,0.888,0.96,0.932,0.936,0.892,0.916,0.888,0.916,0.492,0.3,0.0013333333333333333,0.004,3.912,4.333,,5,6.006666666666668,False,WORLD_SHIFT and MISSING_LATENT_VARIABLE differ statistically in context B before a context intervention
n0.90_w0.90_h0.95_c0.85_l0.90,False,0.9,0.9,0.95,0.85,0.9,0.05303030303030303,0.824,0.889,0.508,0.716,0.952,0.964,0.932,0.936,0.904,0.94,0.904,0.936,0.492,0.284,0.0026666666666666666,0.006666666666666667,3.866,4.249,,5,8.219999999999999,True,all intended distinctions preserved
v1_baseline,True,0.9,0.9,0.95,0.9,0.9,0.05223880597014926,0.824,0.894,0.508,0.728,0.952,0.964,0.932,0.944,0.904,0.94,0.904,0.94,0.492,0.272,0.0026666666666666666,0.004,3.852,4.211,,5,8.315333333333335,True,all intended distinctions preserved
n0.85_w0.85_h0.95_c0.85_l0.85,False,0.85,0.85,0.95,0.85,0.85,0.07129094412331408,0.783,0.843,0.472,0.588,0.912,0.948,0.908,0.94,0.84,0.896,0.84,0.896,0.528,0.412,0.012,0.006666666666666667,4.152,4.924,,4,6.930666666666667,True,all intended distinctions preserved
n0.85_w0.85_h0.95_c0.90_l0.85,False,0.85,0.85,0.95,0.9,0.85,0.07020872865275143,0.785,0.853,0.472,0.616,0.912,0.948,0.916,0.952,0.84,0.896,0.84,0.896,0.528,0.384,0.009333333333333334,0.006666666666666667,4.14,4.76,,5,7.125333333333334,True,all intended distinctions preserved
n0.85_w0.85_h0.95_c0.85_l0.90,False,0.85,0.85,0.95,0.85,0.9,0.0700757575757576,0.798,0.863,0.472,0.608,0.932,0.96,0.908,0.944,0.88,0.94,0.88,0.94,0.528,0.392,0.012,0.006666666666666667,3.873,4.436,,5,5.2686666666666655,False,WORLD_SHIFT and MISSING_LATENT_VARIABLE differ statistically in context B before a context intervention
n0.85_w0.85_h0.95_c0.90_l0.90,False,0.85,0.85,0.95,0.9,0.9,0.06902985074626868,0.8,0.865,0.472,0.608,0.932,0.96,0.916,0.952,0.88,0.94,0.88,0.94,0.528,0.392,0.009333333333333334,0.004,3.859,4.351,,5,5.284666666666665,False,WORLD_SHIFT and MISSING_LATENT_VARIABLE differ statistically in context B before a context intervention
n0.85_w0.90_h0.95_c0.85_l0.85,False,0.85,0.9,0.95,0.85,0.85,0.0700757575757576,0.79,0.846,0.472,0.588,0.888,0.96,0.908,0.924,0.892,0.912,0.888,0.912,0.528,0.412,0.010666666666666666,0.006666666666666667,3.894,4.527,,4,5.055999999999999,False,WORLD_SHIFT and MISSING_LATENT_VARIABLE differ statistically in context B before a context intervention
n0.85_w0.90_h0.95_c0.90_l0.85,False,0.85,0.9,0.95,0.9,0.85,0.06902985074626868,0.792,0.851,0.472,0.6,0.888,0.96,0.916,0.932,0.892,0.912,0.888,0.912,0.528,0.4,0.008,0.006666666666666667,3.88,4.335,,5,5.144666666666666,False,WORLD_SHIFT and MISSING_LATENT_VARIABLE differ statistically in context B before a context intervention
n0.85_w0.90_h0.95_c0.85_l0.90,False,0.85,0.9,0.95,0.85,0.9,0.06890130353817507,0.809,0.863,0.472,0.612,0.952,0.964,0.908,0.936,0.904,0.94,0.904,0.936,0.528,0.388,0.010666666666666666,0.006666666666666667,3.834,4.258,,5,7.344,True,all intended distinctions preserved
n0.85_w0.90_h0.95_c0.90_l0.90,False,0.85,0.9,0.95,0.9,0.9,0.06788990825688075,0.811,0.865,0.472,0.612,0.952,0.964,0.916,0.944,0.904,0.94,0.904,0.94,0.528,0.388,0.008,0.004,3.82,4.208,,5,7.3679999999999986,True,all intended distinctions preserved
