condition,true_hypothesis,planned_cells,valid_episodes,comparable_confidence_count,missing_confidence_on_valid_count,mean_signed_gap,mean_absolute_gap,overconfidence_count,overconfidence_frequency,underconfidence_count,underconfidence_frequency,self_ge_threshold_normative_lt_count,self_ge_threshold_normative_lt_rate,both_ge_threshold_count,both_ge_threshold_rate,normative_ge_threshold_self_lt_count,normative_ge_threshold_self_lt_rate,premature_diagnosis_valid_count,premature_diagnosis_valid_rate,threshold_success_valid_count,threshold_success_valid_rate
FULL_AUTONOMOUS,ALL,40,40,40,0,0.12091177205364471,0.13436433135479786,35,0.875,5,0.125,4,0.1,1,0.025,2,0.05,37,0.925,3,0.075
FULL_AUTONOMOUS,NO_STRUCTURAL_CHANGE,10,10,10,0,0.15057107464954395,0.15678238799360936,9,0.9,1,0.1,0,0.0,0,0.0,0,0.0,10,1.0,0,0.0
FULL_AUTONOMOUS,WORLD_SHIFT,10,10,10,0,0.11312124797659032,0.12975400349837288,8,0.8,2,0.2,1,0.1,1,0.1,1,0.1,8,0.8,2,0.2
FULL_AUTONOMOUS,SENSOR_CORRUPTION,10,10,10,0,0.08937767077654177,0.12034383911530644,8,0.8,2,0.2,0,0.0,0,0.0,1,0.1,9,0.9,1,0.1
FULL_AUTONOMOUS,MISSING_LATENT_VARIABLE,10,10,10,0,0.1305770948119028,0.1305770948119028,10,1.0,0,0.0,3,0.3,0,0.0,0,0.0,10,1.0,0,0.0
THRESHOLD_AWARE_AUTONOMOUS,ALL,40,37,37,0,0.10624662337306924,0.11035949055422893,31,0.8378378378378378,6,0.16216216216216217,29,0.7837837837837838,8,0.21621621621621623,0,0.0,29,0.7837837837837838,8,0.21621621621621623
THRESHOLD_AWARE_AUTONOMOUS,NO_STRUCTURAL_CHANGE,10,10,10,0,0.053653725233702966,0.053653725233702966,10,1.0,0,0.0,10,1.0,0,0.0,0,0.0,10,1.0,0,0.0
THRESHOLD_AWARE_AUTONOMOUS,WORLD_SHIFT,10,7,7,0,0.1495587206186115,0.1638858754531447,3,0.42857142857142855,4,0.5714285714285714,3,0.42857142857142855,4,0.5714285714285714,0,0.0,3,0.42857142857142855,4,0.5714285714285714
THRESHOLD_AWARE_AUTONOMOUS,SENSOR_CORRUPTION,10,10,10,0,0.08408854144178578,0.08927714162790337,8,0.8,2,0.2,6,0.6,4,0.4,0,0.0,6,0.6,4,0.4
THRESHOLD_AWARE_AUTONOMOUS,MISSING_LATENT_VARIABLE,10,10,10,0,0.1506791353718394,0.1506791353718394,10,1.0,0,0.0,10,1.0,0,0.0,0,0.0,10,1.0,0,0.0
