analysis_split,condition,true_hypothesis,planned_cells,valid_episodes_including_diagnostic_errors,valid_correct_episodes,diagnostic_errors,scientific_model_failures,provider_failures_excluding_rate_limits,rate_limit_failures
PILOT,FULL_AUTONOMOUS,ALL,8,8,8,0,0,0,0
PILOT,FULL_AUTONOMOUS,NO_STRUCTURAL_CHANGE,2,2,2,0,0,0,0
PILOT,FULL_AUTONOMOUS,WORLD_SHIFT,2,2,2,0,0,0,0
PILOT,FULL_AUTONOMOUS,SENSOR_CORRUPTION,2,2,2,0,0,0,0
PILOT,FULL_AUTONOMOUS,MISSING_LATENT_VARIABLE,2,2,2,0,0,0,0
PILOT,PLANNER_ONLY,ALL,8,8,8,0,0,0,0
PILOT,PLANNER_ONLY,NO_STRUCTURAL_CHANGE,2,2,2,0,0,0,0
PILOT,PLANNER_ONLY,WORLD_SHIFT,2,2,2,0,0,0,0
PILOT,PLANNER_ONLY,SENSOR_CORRUPTION,2,2,2,0,0,0,0
PILOT,PLANNER_ONLY,MISSING_LATENT_VARIABLE,2,2,2,0,0,0,0
PILOT,THRESHOLD_AWARE_AUTONOMOUS,ALL,8,8,8,0,0,0,0
PILOT,THRESHOLD_AWARE_AUTONOMOUS,NO_STRUCTURAL_CHANGE,2,2,2,0,0,0,0
PILOT,THRESHOLD_AWARE_AUTONOMOUS,WORLD_SHIFT,2,2,2,0,0,0,0
PILOT,THRESHOLD_AWARE_AUTONOMOUS,SENSOR_CORRUPTION,2,2,2,0,0,0,0
PILOT,THRESHOLD_AWARE_AUTONOMOUS,MISSING_LATENT_VARIABLE,2,2,2,0,0,0,0
REPLICATION,FULL_AUTONOMOUS,ALL,32,32,24,8,0,0,0
REPLICATION,FULL_AUTONOMOUS,NO_STRUCTURAL_CHANGE,8,8,7,1,0,0,0
REPLICATION,FULL_AUTONOMOUS,WORLD_SHIFT,8,8,5,3,0,0,0
REPLICATION,FULL_AUTONOMOUS,SENSOR_CORRUPTION,8,8,6,2,0,0,0
REPLICATION,FULL_AUTONOMOUS,MISSING_LATENT_VARIABLE,8,8,6,2,0,0,0
REPLICATION,PLANNER_ONLY,ALL,32,32,27,5,0,0,0
REPLICATION,PLANNER_ONLY,NO_STRUCTURAL_CHANGE,8,8,7,1,0,0,0
REPLICATION,PLANNER_ONLY,WORLD_SHIFT,8,8,6,2,0,0,0
REPLICATION,PLANNER_ONLY,SENSOR_CORRUPTION,8,8,6,2,0,0,0
REPLICATION,PLANNER_ONLY,MISSING_LATENT_VARIABLE,8,8,8,0,0,0,0
REPLICATION,THRESHOLD_AWARE_AUTONOMOUS,ALL,32,29,24,5,3,0,0
REPLICATION,THRESHOLD_AWARE_AUTONOMOUS,NO_STRUCTURAL_CHANGE,8,8,8,0,0,0,0
REPLICATION,THRESHOLD_AWARE_AUTONOMOUS,WORLD_SHIFT,8,5,3,2,3,0,0
REPLICATION,THRESHOLD_AWARE_AUTONOMOUS,SENSOR_CORRUPTION,8,8,7,1,0,0,0
REPLICATION,THRESHOLD_AWARE_AUTONOMOUS,MISSING_LATENT_VARIABLE,8,8,6,2,0,0,0
COMBINED,FULL_AUTONOMOUS,ALL,40,40,32,8,0,0,0
COMBINED,FULL_AUTONOMOUS,NO_STRUCTURAL_CHANGE,10,10,9,1,0,0,0
COMBINED,FULL_AUTONOMOUS,WORLD_SHIFT,10,10,7,3,0,0,0
COMBINED,FULL_AUTONOMOUS,SENSOR_CORRUPTION,10,10,8,2,0,0,0
COMBINED,FULL_AUTONOMOUS,MISSING_LATENT_VARIABLE,10,10,8,2,0,0,0
COMBINED,PLANNER_ONLY,ALL,40,40,35,5,0,0,0
COMBINED,PLANNER_ONLY,NO_STRUCTURAL_CHANGE,10,10,9,1,0,0,0
COMBINED,PLANNER_ONLY,WORLD_SHIFT,10,10,8,2,0,0,0
COMBINED,PLANNER_ONLY,SENSOR_CORRUPTION,10,10,8,2,0,0,0
COMBINED,PLANNER_ONLY,MISSING_LATENT_VARIABLE,10,10,10,0,0,0,0
COMBINED,THRESHOLD_AWARE_AUTONOMOUS,ALL,40,37,32,5,3,0,0
COMBINED,THRESHOLD_AWARE_AUTONOMOUS,NO_STRUCTURAL_CHANGE,10,10,10,0,0,0,0
COMBINED,THRESHOLD_AWARE_AUTONOMOUS,WORLD_SHIFT,10,7,5,2,3,0,0
COMBINED,THRESHOLD_AWARE_AUTONOMOUS,SENSOR_CORRUPTION,10,10,9,1,0,0,0
COMBINED,THRESHOLD_AWARE_AUTONOMOUS,MISSING_LATENT_VARIABLE,10,10,8,2,0,0,0
