true_hypothesis,seed,match_key,full_protocol_status,full_analysis_category,full_final_diagnosis,full_diagnosis_correct,full_threshold_qualified_success,full_premature_diagnosis,full_experiments_used,full_normative_probability_of_final_diagnosis,full_self_reported_confidence,full_cumulative_action_regret,full_oracle_action_agreement_rate,full_action_sequence,planner_protocol_status,planner_analysis_category,planner_final_diagnosis,planner_diagnosis_correct,planner_threshold_qualified_success,planner_premature_diagnosis,planner_experiments_used,planner_normative_probability_of_final_diagnosis,planner_self_reported_confidence,planner_cumulative_action_regret,planner_oracle_action_agreement_rate,planner_action_sequence,threshold_aware_protocol_status,threshold_aware_analysis_category,threshold_aware_final_diagnosis,threshold_aware_diagnosis_correct,threshold_aware_threshold_qualified_success,threshold_aware_premature_diagnosis,threshold_aware_experiments_used,threshold_aware_normative_probability_of_final_diagnosis,threshold_aware_self_reported_confidence,threshold_aware_cumulative_action_regret,threshold_aware_oracle_action_agreement_rate,threshold_aware_action_sequence,planner_vs_full_protocol_comparison,planner_vs_full_diagnosis_correct_delta,planner_vs_full_diagnostic_outcome,planner_vs_full_threshold_qualified_success_delta,planner_vs_full_premature_diagnosis_delta,planner_vs_full_experiments_used_delta,planner_vs_full_cumulative_action_regret_delta,planner_vs_full_oracle_action_agreement_rate_delta,threshold_aware_vs_full_protocol_comparison,threshold_aware_vs_full_diagnosis_correct_delta,threshold_aware_vs_full_diagnostic_outcome,threshold_aware_vs_full_threshold_qualified_success_delta,threshold_aware_vs_full_premature_diagnosis_delta,threshold_aware_vs_full_experiments_used_delta,threshold_aware_vs_full_cumulative_action_regret_delta,threshold_aware_vs_full_oracle_action_agreement_rate_delta,threshold_aware_vs_planner_protocol_comparison,threshold_aware_vs_planner_diagnosis_correct_delta,threshold_aware_vs_planner_diagnostic_outcome,threshold_aware_vs_planner_threshold_qualified_success_delta,threshold_aware_vs_planner_premature_diagnosis_delta,threshold_aware_vs_planner_experiments_used_delta,threshold_aware_vs_planner_cumulative_action_regret_delta,threshold_aware_vs_planner_oracle_action_agreement_rate_delta
NO_STRUCTURAL_CHANGE,0,NO_STRUCTURAL_CHANGE:0,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,0.88,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,0.98,0.3668367597042391,0.3333333333333333,REPEAT_TRIAL>USE_TRUSTED_SENSOR>CHANGE_CONTEXT,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,0.0,0.0,0.0,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.3276677805958531,-0.16666666666666669,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.3276677805958531,-0.16666666666666669
NO_STRUCTURAL_CHANGE,1,NO_STRUCTURAL_CHANGE:1,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,0.88,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,0.96,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,0.0,0.0,0.0,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,0.0,0.0,0.0,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,0.0,0.0,0.0
NO_STRUCTURAL_CHANGE,2,NO_STRUCTURAL_CHANGE:2,VALID_EPISODE,DIAGNOSTIC_ERROR,MISSING_LATENT_VARIABLE,False,False,True,4,0.7216041696545505,0.85,0.4207538161618527,0.25,USE_TRUSTED_SENSOR>USE_TRUSTED_SENSOR>CHANGE_CONTEXT>USE_TRUSTED_SENSOR,VALID_EPISODE,DIAGNOSTIC_ERROR,MISSING_LATENT_VARIABLE,False,False,True,2,0.831518107736678,,0.0,1.0,USE_TRUSTED_SENSOR>CHANGE_CONTEXT,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,5,0.8839536471800272,0.96,0.4333801589143995,0.4,USE_TRUSTED_SENSOR>USE_TRUSTED_SENSOR>USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,BOTH_VALID,0,BOTH_INCORRECT,0.0,0.0,-2.0,-0.4207538161618527,0.75,BOTH_VALID,1,LEFT_ONLY_CORRECT,0.0,0.0,1.0,0.012626342752546815,0.15000000000000002,BOTH_VALID,1,LEFT_ONLY_CORRECT,0.0,0.0,3.0,0.4333801589143995,-0.6
NO_STRUCTURAL_CHANGE,3,NO_STRUCTURAL_CHANGE:3,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,0.9,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,0.96,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,0.0,0.0,0.0
NO_STRUCTURAL_CHANGE,4,NO_STRUCTURAL_CHANGE:4,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,0.85,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,0.96,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,0.0,0.0,0.0,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669
NO_STRUCTURAL_CHANGE,5,NO_STRUCTURAL_CHANGE:5,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,0.85,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,0.96,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,0.0,0.0,0.0
NO_STRUCTURAL_CHANGE,6,NO_STRUCTURAL_CHANGE:6,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,0.92,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,0.96,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,0.0,0.0,0.0,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669
NO_STRUCTURAL_CHANGE,7,NO_STRUCTURAL_CHANGE:7,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,0.92,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,0.96,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,0.0,0.0,0.0,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669
NO_STRUCTURAL_CHANGE,8,NO_STRUCTURAL_CHANGE:8,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,0.85,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,0.96,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,0.0,0.0,0.0
NO_STRUCTURAL_CHANGE,9,NO_STRUCTURAL_CHANGE:9,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,0.88,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,2,0.7052035646412104,,0.039168979108386015,0.5,USE_TRUSTED_SENSOR>REPEAT_TRIAL,VALID_EPISODE,VALID_EPISODE,NO_STRUCTURAL_CHANGE,True,False,True,3,0.911056566720327,0.96,0.06345436313237618,0.3333333333333333,USE_TRUSTED_SENSOR>REPEAT_TRIAL>CHANGE_CONTEXT,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,0.0,0.0,0.0,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669,BOTH_VALID,0,BOTH_CORRECT,0.0,0.0,1.0,0.024285384023990164,-0.16666666666666669
