analysis_split,condition,true_hypothesis,planned_cells,valid_episodes,diagnostic_errors,scientific_model_failures,provider_failures,rate_limit_failures,planned_cell_accuracy,valid_episode_accuracy,threshold_qualified_success_all_cells,threshold_success_valid_episodes,premature_diagnosis_all_cells,premature_diagnosis_valid_episodes,mean_experiments_all_cells,mean_experiments_valid_episodes,mean_regret_all_cells,mean_regret_valid_episodes,oracle_agreement_all_actions,oracle_agreement_valid_actions,false_structural_diagnosis_valid_rate,missed_structural_diagnosis_valid_rate,mean_autonomous_belief_l1_error_valid,planned_cell_accuracy_ci95_low,planned_cell_accuracy_ci95_high,valid_episode_accuracy_ci95_low,valid_episode_accuracy_ci95_high,threshold_qualified_success_all_cells_ci95_low,threshold_qualified_success_all_cells_ci95_high,premature_diagnosis_all_cells_ci95_low,premature_diagnosis_all_cells_ci95_high,scientific_model_failure_rate_ci95_low,scientific_model_failure_rate_ci95_high,threshold_success_valid_episodes_ci95_low,threshold_success_valid_episodes_ci95_high,premature_diagnosis_valid_episodes_ci95_low,premature_diagnosis_valid_episodes_ci95_high,scientific_model_failure_rate,provider_failure_rate_excluding_rate_limits,rate_limit_failure_rate
COMBINED,FULL_AUTONOMOUS,NO_STRUCTURAL_CHANGE,10,10,1,0,0,0,0.9,0.9,0.0,0.0,1.0,1.0,2.3,2.3,0.0797560012161317,0.0797560012161317,0.43478260869565216,0.43478260869565216,0.1,,0.4251872561722448,0.5958499732047615,0.9821237869049271,0.5958499732047615,0.9821237869049271,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.2775327998628892,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0
COMBINED,FULL_AUTONOMOUS,WORLD_SHIFT,10,10,3,0,0,0,0.7,0.7,0.2,0.2,0.8,0.8,2.6,2.6,0.1337598704159947,0.1337598704159947,0.8461538461538461,0.8461538461538461,,0,0.3365669496278319,0.39677814746114537,0.8922087325936989,0.39677814746114537,0.8922087325936989,0.05668215145437519,0.5098375284633583,0.49016247153664183,0.9433178485456247,0.0,0.2775327998628892,0.05668215145437519,0.5098375284633583,0.49016247153664183,0.9433178485456247,0.0,0.0,0.0
COMBINED,FULL_AUTONOMOUS,SENSOR_CORRUPTION,10,10,2,0,0,0,0.8,0.8,0.1,0.1,0.9,0.9,2.8,2.8,0.2601839138551634,0.2601839138551634,0.5,0.5,,0,0.3765668522480226,0.49016247153664183,0.9433178485456247,0.49016247153664183,0.9433178485456247,0.017876213095072896,0.4041500267952385,0.5958499732047615,0.9821237869049271,0.0,0.2775327998628892,0.017876213095072896,0.4041500267952385,0.5958499732047615,0.9821237869049271,0.0,0.0,0.0
COMBINED,FULL_AUTONOMOUS,MISSING_LATENT_VARIABLE,10,10,2,0,0,0,0.8,0.8,0.0,0.0,1.0,1.0,2.4,2.4,0.19900946569593964,0.19900946569593964,0.75,0.75,,0,0.33069958127680155,0.49016247153664183,0.9433178485456247,0.49016247153664183,0.9433178485456247,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.2775327998628892,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0
COMBINED,PLANNER_ONLY,NO_STRUCTURAL_CHANGE,10,10,1,0,0,0,0.9,0.9,0.0,0.0,1.0,1.0,2.4,2.4,0.04496623480714348,0.04496623480714348,0.4583333333333333,0.4583333333333333,0.1,,,0.5958499732047615,0.9821237869049271,0.5958499732047615,0.9821237869049271,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.2775327998628892,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0
COMBINED,PLANNER_ONLY,WORLD_SHIFT,10,10,2,0,0,0,0.8,0.8,0.4,0.4,0.6,0.6,3.8,3.8,0.20453946924043107,0.20453946924043107,0.8157894736842105,0.8157894736842105,,0,,0.49016247153664183,0.9433178485456247,0.49016247153664183,0.9433178485456247,0.16818032970623614,0.6873262302663417,0.31267376973365824,0.8318196702937638,0.0,0.2775327998628892,0.16818032970623614,0.6873262302663417,0.31267376973365824,0.8318196702937638,0.0,0.0,0.0
COMBINED,PLANNER_ONLY,SENSOR_CORRUPTION,10,10,2,0,0,0,0.8,0.8,0.0,0.0,1.0,1.0,2.1,2.1,0.05387960152911227,0.05387960152911227,0.5238095238095238,0.5238095238095238,,0.1,,0.49016247153664183,0.9433178485456247,0.49016247153664183,0.9433178485456247,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.2775327998628892,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0
COMBINED,PLANNER_ONLY,MISSING_LATENT_VARIABLE,10,10,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,2.3,2.3,0.02071567002063853,0.02071567002063853,0.9565217391304348,0.9565217391304348,,0,,0.7224672001371107,0.9999999999999999,0.7224672001371107,0.9999999999999999,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.2775327998628892,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0
COMBINED,THRESHOLD_AWARE_AUTONOMOUS,NO_STRUCTURAL_CHANGE,10,10,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,3.2,3.2,0.13078518236776482,0.13078518236776482,0.34375,0.34375,0,,0.42831435626512676,0.7224672001371107,0.9999999999999999,0.7224672001371107,0.9999999999999999,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.2775327998628892,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0
COMBINED,THRESHOLD_AWARE_AUTONOMOUS,WORLD_SHIFT,10,7,2,3,0,0,0.5,0.7142857142857143,0.4,0.5714285714285714,0.3,0.42857142857142855,3.3,3.142857142857143,0.12054787483131749,0.09891917217415822,0.8484848484848485,0.8636363636363636,,0,0.3677040100885291,0.236593090512564,0.7634069094874361,0.35893445183261935,0.9177810759959433,0.16818032970623614,0.6873262302663417,0.10779126740630099,0.6032218525388546,0.10779126740630099,0.6032218525388546,0.2504583645276572,0.8417801447485302,0.15821985525146975,0.7495416354723428,0.3,0.0,0.0
COMBINED,THRESHOLD_AWARE_AUTONOMOUS,SENSOR_CORRUPTION,10,10,1,0,0,0,0.9,0.9,0.4,0.4,0.6,0.6,3.2,3.2,0.19112197086699662,0.19112197086699662,0.65625,0.65625,,0,0.39934129968093807,0.5958499732047615,0.9821237869049271,0.5958499732047615,0.9821237869049271,0.16818032970623614,0.6873262302663417,0.31267376973365824,0.8318196702937638,0.0,0.2775327998628892,0.16818032970623614,0.6873262302663417,0.31267376973365824,0.8318196702937638,0.0,0.0,0.0
COMBINED,THRESHOLD_AWARE_AUTONOMOUS,MISSING_LATENT_VARIABLE,10,10,2,0,0,0,0.8,0.8,0.0,0.0,1.0,1.0,3.0,3.0,0.1624620558757939,0.1624620558757939,0.7666666666666667,0.7666666666666667,,0.2,0.3222791877432661,0.49016247153664183,0.9433178485456247,0.49016247153664183,0.9433178485456247,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.2775327998628892,0.0,0.2775327998628892,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0
