budget,threshold,episodes,map_accuracy,map_accuracy_ci_lower,map_accuracy_ci_upper,success_at_threshold,success_ci_lower,success_ci_upper,mean_experiments,false_structural_diagnosis_rate,false_structural_ci_lower,false_structural_ci_upper,missed_structural_failure_rate,missed_structural_ci_lower,missed_structural_ci_upper
1,0.8,4000,0.4555,0.4401166553025067,0.4709687351502769,0.0,5.421010862427522e-20,0.0009594432897014865,1,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
1,0.9,4000,0.4555,0.4401166553025067,0.4709687351502769,0.0,5.421010862427522e-20,0.0009594432897014865,1,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
1,0.95,4000,0.4555,0.4401166553025067,0.4709687351502769,0.0,5.421010862427522e-20,0.0009594432897014865,1,1.0,0.996173241514445,1.0,0.0,0.0,0.0012788487253259629
2,0.8,4000,0.795,0.7822091514956321,0.8072247769634441,0.58475,0.5694051301643558,0.5999322441980398,2,0.159,0.1376463027469242,0.18296354654022445,0.08,0.07082054503843029,0.09025368789084352
2,0.9,4000,0.795,0.7822091514956321,0.8072247769634441,0.0,5.421010862427522e-20,0.0009594432897014865,2,0.159,0.1376463027469242,0.18296354654022445,0.08,0.07082054503843029,0.09025368789084352
2,0.95,4000,0.795,0.7822091514956321,0.8072247769634441,0.0,5.421010862427522e-20,0.0009594432897014865,2,0.159,0.1376463027469242,0.18296354654022445,0.08,0.07082054503843029,0.09025368789084352
3,0.8,4000,0.802,0.7893636002907766,0.814056895962244,0.772,0.758741128722183,0.7847369341282195,2.27025,0.251,0.22511381079019804,0.27879191493560834,0.011,0.007843338161892114,0.015407375891476676
3,0.9,4000,0.81825,0.8059956529471223,0.8298936613989828,0.713,0.6987823019528802,0.7268089752057069,3,0.251,0.22511381079019804,0.27879191493560834,0.011,0.007843338161892114,0.015407375891476676
3,0.95,4000,0.81825,0.8059956529471223,0.8298936613989828,0.174,0.16256574238553378,0.18605981463935156,3,0.251,0.22511381079019804,0.27879191493560834,0.011,0.007843338161892114,0.015407375891476676
5,0.8,4000,0.83025,0.8183004537998354,0.841565833907317,0.80925,0.7967798801812696,0.8211267041440502,2.41975,0.173,0.1508192344529515,0.19768346559660158,0.021333333333333333,0.01674212993362851,0.027148821246083546
5,0.9,4000,0.898,0.8882358719399791,0.9070004112014186,0.8595,0.8483856278989524,0.8699245323757524,3.4035,0.173,0.1508192344529515,0.19768346559660158,0.021333333333333333,0.01674212993362851,0.027148821246083546
5,0.95,4000,0.92475,0.9161613227915872,0.9325236301338113,0.741,0.7271971544369514,0.7543403938974124,4.1375,0.057,0.04425344035871594,0.07313706765948591,0.023333333333333334,0.018510134550341235,0.029375701234469517
8,0.8,4000,0.83775,0.826001532119657,0.8488503639381497,0.83525,0.823433565499227,0.8464231277750284,2.47,0.175,0.1527057476303958,0.19978164538521503,0.013666666666666667,0.010090333246530282,0.018486893613636774
8,0.9,4000,0.912,0.9028207845388784,0.9203886341904076,0.9035,0.8939585445882571,0.9122671846769538,3.53925,0.177,0.1545933794855418,0.20187870649612683,0.012666666666666666,0.00924242683594685,0.01733735772167086
8,0.95,4000,0.958,0.9513318307532909,0.9637893191933425,0.92775,0.9193096632989687,0.9353695329666917,4.596,0.046,0.03466249276326498,0.06081220394161907,0.005666666666666667,0.0035410565832478284,0.00905663185652444
